,Product Title,Price,No. of reviews
0,"realme narzo 50i (Mint Green, 4GB RAM+64GB Storage) - with No Cost EMI/Additional Exchange Offers","₹8,999","9,627"
1,"Amazon's Choicefor ""realme phone""","₹9,999","16,280"
2,"realme narzo 50A (Oxygen Blue , 4GB RAM + 128 GB Storage) Helio G85 Processor | 50MP AI Triple Camera | 6000 mAh Battery","₹12,499","16,280"
3,"realme narzo 50A (Oxygen Blue , 4GB RAM + 64 GB Storage) Helio G85 Processor | 50MP AI Triple Camera | 6000 mAh Battery","₹13,965","9,790"
4,"realme C11 (2021) (Cool Blue, 2GB RAM, 32GB Storage) with No Cost EMI/Additional Exchange Offers","₹11,499",472
5,"realme 8i (Space Purple, 4GB RAM, 64GB Storage), Medium","₹12,999","16,280"
6,"realme narzo 50A (Oxygen Green , 4GB RAM + 64 GB Storage) Helio G85 Processor | 50MP AI Triple Camera | 6000 mAh Battery","₹13,690",232
7,"Realme C25Y (Glacier Blue, 128 GB) (4 GB RAM)","₹19,999",2
8,"realme 9i (Prism Black, 64 GB)  (4 GB RAM)","₹11,499",8
9,"(Renewed) Realme GT 5G Master Edition (Luna White, 8GB RAM, 128GB Storage)","₹12,999",108
10,"Realme C25Y (Metal Grey, 4GB RAM, 128GB Storage)","₹11,690",247
11,"realme 8 (Cyber Black, 4GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers","₹13,999","9,627"
12,"realme narzo 50i (Mint Green, 2GB RAM+32GB Storage) - with No Cost EMI/Additional Exchange Offers","₹14,780",177
13,"realme 8i (Space Black, 4GB RAM, 64GB Storage), Medium","₹15,999",68
14,"realme C21Y (Cross Blue, 3GB RAM, 32GB Storage), Medium","₹22,990",53
15,"realme C21Y (Cross Black, 3GB RAM, 32GB Storage), Medium","₹26,990",113
16,"realme C11 2021 (Cool Blue, 4GB RAM, 64GB Storage), Medium (RMX3231)","₹11,700",
17,,"₹13,999",
18,,"₹15,725",
19,,"₹16,999",
20,,"₹7,499",
21,,"₹7,999",
22,,"₹13,540",
23,,"₹14,999",
24,,"₹8,778",
25,,"₹9,999",
26,,"₹8,716",
27,,"₹12,999",
28,,"₹9,825",
29,,"₹9,999",
